
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:1, Value:11
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:1, Value:12
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:1, Value:13
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:2, Value:14
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:2, Value:15
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:3, Value:16
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:3, Value:17
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:3, Value:18
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:4, Value:19
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER LOGIN, User:None, Time:9, Value:19
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:9, Value:5
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:1, Time:9, Value:0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:13.197186361354838, Value:11
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:2, Time:13.197186361354838, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:15.282020601562312, Value:16
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:3, Time:15.282020601562312, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:16.74702043196758, Value:21
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:4, Time:16.74702043196758, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:18.345363046487318, Value:26
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:5, Time:18.345363046487318, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:19.4075255293174, Value:32
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:6, Time:19.4075255293174, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:2, Time:19.460066888588536, Value:6262.880527233698
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:20.91536481876219, Value:32
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:7, Time:20.91536481876219, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:22.77794469708742, Value:37
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:8, Time:22.77794469708742, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:23.930645772890056, Value:42
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:9, Time:23.930645772890056, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:25.308213855319263, Value:47
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:10, Time:25.308213855319263, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:8, Time:26.133108409439902, Value:3355.163712352482
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:26.528694318612494, Value:47
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:11, Time:26.528694318612494, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:28.399730426673198, Value:53
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:12, Time:28.399730426673198, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:5, Time:28.519773570255285, Value:10174.410523767967
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:29.58314767297477, Value:53
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:13, Time:29.58314767297477, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:31.716225152386215, Value:58
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:14, Time:31.716225152386215, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:32.78719276484463, Value:63
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:15, Time:32.78719276484463, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:13, Time:33.73276505777888, Value:4149.617384804106
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:34.17115117686406, Value:63
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:16, Time:34.17115117686406, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:36.15973729447914, Value:68
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:17, Time:36.15973729447914, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:37.19553963436239, Value:74
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:18, Time:37.19553963436239, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:38.54139855248517, Value:79
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:19, Time:38.54139855248517, Value:0.0
